input_norm,output_norm
-1.0,-0.9104412603125628
-0.9990229604298975,-0.9104412603125628
-0.9980459208597948,-0.9104412603125628
-0.9970688812896922,-0.9104412603125628
-0.9960918417195896,-0.9104412603125628
-0.9951148021494871,-0.9105873381989523
-0.9941377625793845,-0.9110528124399965
-0.9931607230092818,-0.9108108419428792
-0.9921836834391793,-0.9110246885105584
-0.9912066438690768,-0.9108615707169735
-0.9902296042989741,-0.9105009140415662
-0.9892525647288715,-0.9103241884373944
-0.9882755251587689,-0.9101403469012648
-0.9872984855886664,-0.9105312439339462
-0.9863214460185638,-0.9106500131246515
-0.9853444064484611,-0.9106926027293138
-0.9843673668783586,-0.911043726258111
-0.983390327308256,-0.9111293878124014
-0.9824132877381534,-0.9107329019381283
-0.9814362481680508,-0.9103364160638552
-0.9804592085979482,-0.910736063379215
-0.9794821690278457,-0.9111969901120379
-0.978505129457743,-0.9110099787914478
-0.9775280898876404,-0.9108229674708578
-0.9765510503175379,-0.9102210932307124
-0.9755740107474353,-0.9112052337596254
-0.9745969711773327,-0.9115742436358352
-0.97361993160723,-0.911387059876832
-0.9726428920371275,-0.9109013783163462
-0.971665852467025,-0.910632682247651
-0.9706888128969223,-0.9103092336159372
-0.9697117733268197,-0.9105228649545323
-0.9687347337567171,-0.9105200172234164
-0.9677576941866146,-0.9103939224724331
-0.966780654616512,-0.9102678277214499
-0.9658036150464093,-0.9098766941333292
-0.9648265754763068,-0.9106868441692137
-0.9638495359062043,-0.9106830557940093
-0.9628724963361016,-0.9098961454286122
-0.961895456765999,-0.9103023328144237
-0.9609184171958964,-0.9105364313164888
-0.9599413776257939,-0.9102391914215306
-0.9589643380556913,-0.9112069989373865
-0.9579872984855886,-0.9114042985701597
-0.9570102589154861,-0.9111601981267247
-0.9560332193453835,-0.9110436114380812
-0.9550561797752809,-0.9109270247494377
-0.9540791402051783,-0.9108104380607941
-0.9531021006350757,-0.9101771422919522
-0.9521250610649732,-0.9095846657385758
-0.9511480214948705,-0.9111700894956992
-0.9501709819247679,-0.9112901236389311
-0.9491939423546654,-0.9111008816868575
-0.9482169027845628,-0.910911639734784
-0.9472398632144602,-0.9107223977827102
-0.9462628236443575,-0.9105118084059574
-0.945285784074255,-0.9102102350880547
-0.9443087445041525,-0.910940404239062
-0.9433317049340498,-0.9115678355022536
-0.9423546653639472,-0.9114179805649708
-0.9413776257938447,-0.9113546053094758
-0.9404005862237421,-0.9110765857409462
-0.9394235466536395,-0.9108956802355686
-0.9384465070835368,-0.911131692285063
-0.9374694675134343,-0.9109033705915726
-0.9364924279433318,-0.9105587722797442
-0.9355153883732291,-0.9105799317549428
-0.9345383488031265,-0.9107341873984963
-0.9335613092330239,-0.9107032343842414
-0.9325842696629214,-0.9106099238834777
-0.9316072300928188,-0.9105166133827142
-0.9306301905227161,-0.9104233028819505
-0.9296531509526136,-0.9103299923811868
-0.928676111382511,-0.9104128652947474
-0.9276990718124084,-0.9108276913189933
-0.9267220322423058,-0.9114116356227694
-0.9257449926722032,-0.9115477625376547
-0.9247679531021007,-0.9095370805567441
-0.923790913531998,-0.9096550317058371
-0.9228138739618954,-0.9097729828549299
-0.9218368343917929,-0.9098909340040229
-0.9208597948216903,-0.9103386097557188
-0.9198827552515877,-0.9107520052193397
-0.918905715681485,-0.9108215461660953
-0.9179286761113825,-0.9108931309587714
-0.91695163654128,-0.9110048687409497
